                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                 0.7102,                0.36509,                0.98724,                0.98271,                0.96216,                0.98362,                0.74415,                0.93823,                0.41239,                 1.1974,              0.0009308,              0.0009308,              0.0009308
                    138,                0.69235,                0.35362,                0.96705,                0.97771,                0.97297,                0.97836,                0.74741,                0.93681,                 0.4229,                 1.2271,             0.00092288,             0.00092288,             0.00092288
                    139,                0.69979,                0.35633,                0.97465,                0.97813,                 0.9669,                0.97814,                0.74762,                0.93175,                0.41459,                 1.2054,             0.00091496,             0.00091496,             0.00091496
                    140,                0.70591,                0.36925,                0.97537,                0.99195,                0.96757,                0.98158,                 0.7457,                0.94847,                0.42911,                  1.218,             0.00090704,             0.00090704,             0.00090704
                    141,                0.70875,                0.38563,                0.98196,                0.98763,                0.95676,                0.97945,                 0.7453,                0.95955,                0.43087,                 1.2061,             0.00089912,             0.00089912,             0.00089912
                    142,                0.68031,                 0.3644,                 0.9554,                 0.9835,                0.96631,                0.97297,                0.73879,                0.92083,                0.41683,                 1.1817,              0.0008912,              0.0008912,              0.0008912
                    143,                0.71311,                0.36767,                0.96967,                0.97784,                0.96757,                 0.9747,                0.73515,                0.95251,                 0.4384,                 1.2218,             0.00088328,             0.00088328,             0.00088328
                    144,                0.69945,                0.35773,                 0.9655,                0.98761,                0.95676,                0.97858,                0.74989,                0.93188,                0.41252,                 1.1912,             0.00087536,             0.00087536,             0.00087536
                    145,                0.68308,                0.36486,                0.96735,                0.99012,                0.93514,                0.98371,                0.74755,                0.90288,                0.41091,                 1.1765,             0.00086744,             0.00086744,             0.00086744
                    146,                0.65546,                0.35878,                0.96639,                0.98255,                0.96216,                0.98151,                0.74583,                0.91769,                 0.4218,                 1.1849,             0.00085952,             0.00085952,             0.00085952
                    147,                0.67535,                 0.3592,                0.95792,                0.97703,                0.96216,                0.98485,                0.75093,                0.94502,                0.43001,                 1.2179,              0.0008516,              0.0008516,              0.0008516
                    148,                0.69634,                0.36258,                0.95997,                0.98837,                0.95676,                0.98028,                0.74627,                0.95106,                0.43298,                 1.2019,             0.00084368,             0.00084368,             0.00084368
                    149,                0.67232,                0.35502,                 0.9652,                0.98358,                0.97131,                 0.9821,                0.75095,                 0.9367,                0.41912,                 1.1948,             0.00083576,             0.00083576,             0.00083576
                    150,                0.67231,                0.36535,                0.96328,                0.98284,                0.97297,                0.97946,                0.74598,                0.91484,                0.40367,                 1.1814,             0.00082784,             0.00082784,             0.00082784
                    151,                0.64785,                0.34985,                0.95657,                0.97118,                0.96216,                0.97633,                  0.737,                0.93065,                0.41778,                 1.1957,             0.00081992,             0.00081992,             0.00081992
